Year,Month,Count
1999,12,61
1999,12,161
1999,12,163
1999,12,597
1999,12,598
1999,12,599
1999,12,600
1999,12,601
1999,12,1064
1999,12,1092
1999,12,1221
2000,1,52
2000,1,53
2000,1,54
2000,1,55
2000,1,56
2000,1,57
2000,1,58
2000,1,59
2000,1,60
2000,1,158
2000,1,159
2000,1,160
2000,1,275
2000,1,299
2000,1,300
2000,1,319
2000,1,320
2000,1,345
2000,1,346
2000,1,347
2000,1,592
2000,1,594
2000,1,595
2000,1,596
2000,1,657
2000,1,1063
2000,1,1069
2000,1,1070
2000,1,1091
2000,1,1158
2000,2,101
2000,2,102
2000,2,103
2000,2,104
2000,2,156
2000,2,273
2000,2,274
2000,2,298
2000,2,318
2000,2,344
2000,2,581
2000,2,583
2000,2,585
2000,2,586
2000,2,587
2000,2,588
2000,2,589
2000,2,590
2000,2,591
2000,2,656
2000,2,1090
2000,2,1129
2000,3,5
2000,3,98
2000,3,99
2000,3,100
2000,3,155
2000,3,208
2000,3,296
2000,3,297
2000,3,343
2000,3,569
2000,3,570
2000,3,571
2000,3,572
2000,3,573
2000,3,574
2000,3,575
2000,3,576
2000,3,577
2000,3,578
2000,3,579
2000,3,1089
2000,3,1219
2000,4,150
2000,4,151
2000,4,152
2000,4,153
2000,4,293
2000,4,294
2000,4,295
2000,4,316
2000,4,317
2000,4,338
2000,4,339
2000,4,340
2000,4,341
2000,4,342
2000,4,560
2000,4,561
2000,4,562
2000,4,563
2000,4,564
2000,4,565
2000,4,566
2000,4,567
2000,4,568
2000,4,1088
2000,4,1110
2000,4,1112
2000,4,1113
2000,4,1127
2000,4,1128
2000,4,1145
2000,4,1146
2000,4,1217
2000,5,3
2000,5,146
2000,5,147
2000,5,148
2000,5,149
2000,5,223
2000,5,242
2000,5,243
2000,5,244
2000,5,245
2000,5,246
2000,5,272
2000,5,292
2000,5,315
2000,5,552
2000,5,553
2000,5,554
2000,5,555
2000,5,556
2000,5,557
2000,5,558
2000,5,559
2000,5,655
2000,5,687
2000,5,688
2000,5,1068
2000,5,1086
2000,5,1087
2000,5,1109
2000,5,1141
2000,5,1142
2000,5,1143
2000,5,1144
2000,5,1216
2000,6,48
2000,6,49
2000,6,50
2000,6,51
2000,6,92
2000,6,93
2000,6,94
2000,6,95
2000,6,96
2000,6,97
2000,6,135
2000,6,136
2000,6,137
2000,6,138
2000,6,140
2000,6,141
2000,6,142
2000,6,143
2000,6,144
2000,6,145
2000,6,203
2000,6,204
2000,6,205
2000,6,206
2000,6,207
2000,6,241
2000,6,291
2000,6,314
2000,6,324
2000,6,541
2000,6,542
2000,6,543
2000,6,544
2000,6,545
2000,6,546
2000,6,549
2000,6,550
2000,6,551
2000,6,682
2000,6,912
2000,6,913
2000,6,914
2000,6,970
2000,6,971
2000,6,1004
2000,6,1005
2000,6,1006
2000,6,1047
2000,6,1048
2000,6,1049
2000,6,1050
2000,6,1051
2000,6,1060
2000,6,1084
2000,6,1085
2000,6,1121
2000,6,1122
2000,6,1235
2000,7,1
2000,7,46
2000,7,91
2000,7,133
2000,7,134
2000,7,202
2000,7,211
2000,7,212
2000,7,213
2000,7,214
2000,7,237
2000,7,270
2000,7,286
2000,7,287
2000,7,288
2000,7,289
2000,7,290
2000,7,323
2000,7,360
2000,7,361
2000,7,362
2000,7,398
2000,7,443
2000,7,444
2000,7,445
2000,7,529
2000,7,530
2000,7,531
2000,7,532
2000,7,533
2000,7,534
2000,7,535
2000,7,536
2000,7,537
2000,7,538
2000,7,539
2000,7,540
2000,7,897
2000,7,898
2000,7,899
2000,7,900
2000,7,901
2000,7,902
2000,7,903
2000,7,904
2000,7,905
2000,7,906
2000,7,907
2000,7,908
2000,7,909
2000,7,968
2000,7,1046
2000,7,1057
2000,7,1058
2000,7,1059
2000,7,1157
2000,8,19
2000,8,20
2000,8,21
2000,8,47
2000,8,90
2000,8,129
2000,8,130
2000,8,131
2000,8,232
2000,8,233
2000,8,234
2000,8,235
2000,8,236
2000,8,269
2000,8,385
2000,8,386
2000,8,393
2000,8,394
2000,8,395
2000,8,396
2000,8,397
2000,8,518
2000,8,519
2000,8,520
2000,8,521
2000,8,522
2000,8,523
2000,8,525
2000,8,526
2000,8,527
2000,8,528
2000,8,681
2000,8,882
2000,8,883
2000,8,884
2000,8,885
2000,8,886
2000,8,887
2000,8,888
2000,8,889
2000,8,890
2000,8,891
2000,8,892
2000,8,893
2000,8,894
2000,8,895
2000,8,896
2000,8,963
2000,8,964
2000,8,965
2000,8,966
2000,8,967
2000,8,976
2000,8,989
2000,8,1001
2000,8,1002
2000,8,1003
2000,8,1041
2000,8,1042
2000,8,1043
2000,8,1044
2000,8,1045
2000,8,1055
2000,8,1056
2000,8,1083
2000,8,1104
2000,8,1105
2000,8,1106
2000,8,1107
2000,8,1108
2000,8,1233
2000,8,1234
2000,9,2
2000,9,18
2000,9,80
2000,9,81
2000,9,82
2000,9,83
2000,9,84
2000,9,85
2000,9,86
2000,9,87
2000,9,88
2000,9,89
2000,9,353
2000,9,354
2000,9,355
2000,9,356
2000,9,357
2000,9,358
2000,9,359
2000,9,383
2000,9,384
2000,9,411
2000,9,412
2000,9,413
2000,9,414
2000,9,439
2000,9,440
2000,9,441
2000,9,442
2000,9,509
2000,9,511
2000,9,512
2000,9,513
2000,9,514
2000,9,515
2000,9,516
2000,9,517
2000,9,602
2000,9,653
2000,9,680
2000,9,854
2000,9,855
2000,9,858
2000,9,859
2000,9,860
2000,9,861
2000,9,862
2000,9,863
2000,9,864
2000,9,865
2000,9,866
2000,9,867
2000,9,868
2000,9,869
2000,9,870
2000,9,871
2000,9,872
2000,9,873
2000,9,874
2000,9,875
2000,9,876
2000,9,877
2000,9,878
2000,9,879
2000,9,880
2000,9,881
2000,9,962
2000,9,973
2000,9,974
2000,9,975
2000,9,985
2000,9,1000
2000,9,1040
2000,9,1076
2000,9,1100
2000,9,1101
2000,9,1102
2000,9,1103
2000,9,1156
2000,9,1230
2000,9,1231
2000,9,1232
2000,10,12
2000,10,13
2000,10,14
2000,10,15
2000,10,16
2000,10,17
2000,10,44
2000,10,45
2000,10,76
2000,10,77
2000,10,78
2000,10,79
2000,10,124
2000,10,125
2000,10,126
2000,10,127
2000,10,210
2000,10,216
2000,10,222
2000,10,224
2000,10,225
2000,10,226
2000,10,227
2000,10,228
2000,10,229
2000,10,230
2000,10,231
2000,10,261
2000,10,266
2000,10,267
2000,10,268
2000,10,321
2000,10,322
2000,10,352
2000,10,379
2000,10,380
2000,10,381
2000,10,382
2000,10,410
2000,10,415
2000,10,438
2000,10,499
2000,10,500
2000,10,501
2000,10,502
2000,10,503
2000,10,504
2000,10,505
2000,10,506
