Year,Month,Count
1999,12,127
1999,12,240
2000,1,30
2000,1,31
2000,1,57
2000,1,58
2000,1,68
2000,1,126
2000,2,15
2000,2,125
2000,2,231
2000,3,61
2000,3,62
2000,3,66
2000,3,67
2000,3,122
2000,3,123
2000,3,124
2000,5,5
2000,5,56
2000,5,119
2000,5,121
2000,5,146
2000,5,147
2000,5,239
2000,6,29
2000,6,52
2000,6,80
2000,6,81
2000,6,117
2000,6,132
2000,6,145
2000,6,212
2000,6,213
2000,6,229
2000,6,230
2000,7,14
2000,7,51
2000,7,60
2000,7,115
2000,7,116
2000,7,137
2000,7,143
2000,7,144
2000,7,188
2000,7,189
2000,7,190
2000,7,204
2000,7,205
2000,7,206
2000,7,227
2000,7,228
2000,8,39
2000,8,42
2000,8,64
2000,8,65
2000,8,77
2000,8,78
2000,8,79
2000,8,97
2000,8,113
2000,8,114
2000,8,135
2000,8,136
2000,8,185
2000,8,186
2000,8,187
2000,8,211
2000,8,222
2000,8,223
2000,8,224
2000,8,225
2000,8,226
2000,9,3
2000,9,4
2000,9,25
2000,9,26
2000,9,27
2000,9,45
2000,9,63
2000,9,75
2000,9,76
2000,9,109
2000,9,110
2000,9,111
2000,9,112
2000,9,134
2000,9,141
2000,9,142
2000,9,181
2000,9,182
2000,9,183
2000,9,184
2000,9,202
2000,9,203
2000,9,209
2000,9,220
2000,9,221
2000,9,244
2000,10,2
2000,10,54
2000,10,72
2000,10,73
2000,10,74
2000,10,83
2000,10,84
2000,10,108
2000,10,140
2000,10,180
2000,10,242
2000,10,243
2000,10,246
2000,11,21
2000,11,22
2000,11,23
2000,11,37
2000,11,47
2000,11,48
2000,11,49
2000,11,69
2000,11,98
2000,11,102
2000,11,103
2000,11,104
2000,11,105
2000,11,106
2000,11,107
2000,11,138
2000,11,139
2000,11,177
2000,11,178
2000,11,179
2000,11,201
2000,11,232
2000,11,241
2000,11,247
2000,12,13
2000,12,28
2000,12,36
2000,12,41
2000,12,44
2000,12,50
2000,12,92
2000,12,173
2000,12,174
2000,12,175
2000,12,219
2000,12,235
2000,12,237
2000,12,238
2001,1,1
2001,1,12
2001,1,35
2001,1,88
2001,1,89
2001,1,131
2001,1,152
2001,1,163
2001,1,164
2001,1,165
2001,1,166
2001,1,167
2001,1,168
2001,1,169
2001,1,170
2001,1,171
2001,1,172
2001,1,196
2001,1,198
2001,1,208
2001,1,233
2001,1,234
2001,1,245
2001,1,254
2001,2,10
2001,2,11
2001,2,17
2001,2,18
2001,2,19
2001,2,20
2001,2,38
2001,2,43
2001,2,46
2001,2,85
2001,2,86
2001,2,87
2001,2,130
2001,2,151
2001,2,155
2001,2,156
2001,2,157
2001,2,158
2001,2,159
2001,2,160
2001,2,161
2001,2,162
2001,2,210
2001,2,217
2001,2,218
2001,3,9
2001,3,16
2001,3,24
2001,3,91
2001,3,153
2001,3,154
2001,3,207
2001,3,248
2001,3,249
2001,3,250
2001,3,251
2001,3,253
2001,3,255
2001,3,260
2001,4,7
2001,4,8
2001,4,32
2001,4,34
2001,4,55
2001,4,59
2001,4,70
2001,4,90
2001,4,94
2001,4,95
2001,4,96
2001,4,99
2001,4,100
2001,4,101
2001,4,118
2001,4,133
2001,4,150
2001,4,192
2001,4,193
2001,4,194
2001,4,195
2001,4,236
2001,4,252
2001,4,256
2001,4,258
2001,4,259
2001,4,261
2001,4,262
2001,5,6
2001,5,53
2001,5,71
2001,5,82
2001,5,93
2001,5,120
2001,5,128
2001,5,129
2001,5,148
2001,5,149
2001,5,176
2001,5,191
2001,5,197
2001,5,199
2001,5,200
2001,5,214
2001,5,215
2001,5,216
2001,5,257
2001,5,263
2001,6,33
2001,8,40
