Year,Month,Count
1999,12,175
1999,12,176
1999,12,177
1999,12,178
1999,12,214
1999,12,215
1999,12,324
1999,12,325
1999,12,326
1999,12,529
1999,12,1072
1999,12,1073
1999,12,1074
1999,12,1075
2000,1,43
2000,1,44
2000,1,70
2000,1,71
2000,1,72
2000,1,73
2000,1,74
2000,1,171
2000,1,172
2000,1,173
2000,1,174
2000,1,211
2000,1,212
2000,1,213
2000,1,237
2000,1,307
2000,1,308
2000,1,309
2000,1,310
2000,1,311
2000,1,312
2000,1,313
2000,1,314
2000,1,315
2000,1,316
2000,1,317
2000,1,318
2000,1,319
2000,1,320
2000,1,321
2000,1,322
2000,1,323
2000,1,527
2000,1,528
2000,1,1065
2000,1,1066
2000,1,1067
2000,1,1068
2000,1,1069
2000,1,1070
2000,1,1071
2000,2,9
2000,2,30
2000,2,170
2000,2,210
2000,2,299
2000,2,300
2000,2,301
2000,2,302
2000,2,303
2000,2,304
2000,2,305
2000,2,306
2000,2,520
2000,2,521
2000,2,522
2000,2,523
2000,2,524
2000,2,525
2000,2,526
2000,2,574
2000,2,1032
2000,2,1033
2000,2,1034
2000,2,1035
2000,2,1036
2000,2,1104
2000,3,69
2000,3,168
2000,3,169
2000,3,207
2000,3,208
2000,3,276
2000,3,277
2000,3,278
2000,3,279
2000,3,280
2000,3,281
2000,3,282
2000,3,283
2000,3,284
2000,3,285
2000,3,286
2000,3,287
2000,3,288
2000,3,289
2000,3,290
2000,3,291
2000,3,292
2000,3,293
2000,3,294
2000,3,295
2000,3,296
2000,3,297
2000,3,298
2000,3,515
2000,3,516
2000,3,517
2000,3,518
2000,3,519
2000,3,530
2000,3,552
2000,3,579
2000,3,1031
2000,3,1063
2000,3,1064
2000,3,1306
2000,4,163
2000,4,164
2000,4,165
2000,4,166
2000,4,167
2000,4,260
2000,4,261
2000,4,262
2000,4,263
2000,4,264
2000,4,265
2000,4,266
2000,4,267
2000,4,268
2000,4,269
2000,4,270
2000,4,271
2000,4,272
2000,4,273
2000,4,274
2000,4,275
2000,4,513
2000,4,1029
2000,4,1030
2000,4,1058
2000,4,1059
2000,4,1060
2000,4,1061
2000,4,1062
2000,4,1087
2000,4,1088
2000,4,1305
2000,5,8
2000,5,55
2000,5,68
2000,5,108
2000,5,125
2000,5,126
2000,5,127
2000,5,128
2000,5,129
2000,5,162
2000,5,201
2000,5,202
2000,5,203
2000,5,204
2000,5,205
2000,5,206
2000,5,251
2000,5,252
2000,5,253
2000,5,254
2000,5,255
2000,5,257
2000,5,258
2000,5,259
2000,5,511
2000,5,573
2000,5,1053
2000,5,1054
2000,5,1055
2000,5,1056
2000,5,1057
2000,5,1086
2000,6,7
2000,6,40
2000,6,42
2000,6,49
2000,6,66
2000,6,67
2000,6,117
2000,6,118
2000,6,119
2000,6,120
2000,6,121
2000,6,122
2000,6,123
2000,6,124
2000,6,156
2000,6,157
2000,6,159
2000,6,160
2000,6,161
2000,6,200
2000,6,248
2000,6,249
2000,6,250
2000,6,382
2000,6,383
2000,6,384
2000,6,385
2000,6,416
2000,6,417
2000,6,505
2000,6,506
2000,6,571
2000,6,572
2000,6,578
2000,6,588
2000,6,589
2000,6,877
2000,6,878
2000,6,879
2000,6,880
2000,6,881
2000,6,882
2000,6,883
2000,6,884
2000,6,885
2000,6,886
2000,6,887
2000,6,888
2000,6,889
2000,6,890
2000,6,891
2000,6,892
2000,6,893
2000,6,894
2000,6,895
2000,6,896
2000,6,897
2000,6,899
2000,6,956
2000,6,957
2000,6,958
2000,6,1010
2000,6,1026
2000,6,1027
2000,6,1097
2000,6,1098
2000,7,6
2000,7,39
2000,7,47
2000,7,64
2000,7,65
2000,7,112
2000,7,113
2000,7,114
2000,7,115
2000,7,116
2000,7,155
2000,7,198
2000,7,199
2000,7,375
2000,7,376
2000,7,377
2000,7,378
2000,7,379
2000,7,380
2000,7,381
2000,7,445
2000,7,498
2000,7,499
2000,7,500
2000,7,501
2000,7,503
2000,7,569
2000,7,570
2000,7,843
2000,7,844
2000,7,845
2000,7,846
2000,7,847
2000,7,849
2000,7,850
2000,7,851
2000,7,852
2000,7,853
2000,7,854
2000,7,855
2000,7,856
2000,7,857
